,ISBN,Título,Autor,Ilustrador,Tradutor,Data de edição,Editora,Idade02,Idade02.1,Nível de leitura01,Nível de leitura02,Temas01,Temas02,Temas03,Formato01,Formato02,Línguas01,Línguas02
4711,978-989-626-748-3,A duquesa de Mântua : a princesa italiana que foi vice-rainha de Portugal,"Serrano, Joana Bouza",,,2016,A Esfera dos Livros,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4712,978-989-626-748-3,A duquesa de Mântua : a princesa italiana que foi vice-rainha de Portugal,"Serrano, Joana Bouza",,,2016,A Esfera dos Livros,maiores de 18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4713,978-989-626-757-5,Aviadores portugueses (1920-1934) : a aventura dos pioneiros,"Correia, Mário",,,2016,A Esfera dos Livros,12-14 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4714,978-989-626-757-5,Aviadores portugueses (1920-1934) : a aventura dos pioneiros,"Correia, Mário",,,2016,A Esfera dos Livros,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4715,978-989-626-764-3,Viagem ao passado romano na Lusitânia,"Fernandes, Lídia",,,2016,A Esfera dos Livros,12-14 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4716,978-989-626-764-3,Viagem ao passado romano na Lusitânia,"Fernandes, Lídia; Encarnação, José d', pref.",,,2016,A Esfera dos Livros,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4717,978-989-626-778-0,O comboio do Luxemburgo : os refugiados judeus que Portugal não salvou em 1940,"Pimentel, Irene Flunser ; Ramalho, Margarida de Magalhães",,,2016,A Esfera dos Livros,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4718,978-989-626-780-3,"História da Inquisição Portuguesa, 1536-1821","Marcocci, Giuseppe ; Paiva, José Pedro",,,2016,A Esfera dos Livros,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4719,978-989-626-780-3,"História da inquisição Portuguesa, 1536-1821","Marcocci, Giuseppe ; Paiva, José Pedro",,,2016,A Esfera dos Livros,maiores de 18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4720,978-989-626-792-6,Histórias coloniais,"Mateus, Dalila Cabrita ; Mateus, Álvaro",,,2016,A Esfera dos Livros,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4721,978-989-626-792-6,Histórias coloniais,"Mateus, Dalila Cabrita Mateus, Álvaro",,,2016,A Esfera dos Livros,maiores de 18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4722,978-989-627-012-4,As aventuras do Bicas,"Magalhães, Ana Maria, 1946-... [et al.] ; Federação Portuguesa de Desporto para Deficientes, ed. lit","Fürst, Matgorzata",,2006,Palavra,6-8 anos,,Leitura inicial,,Literatura,Cultura e Sociedade,,Livro álbum,,Português,
4723,978-989-628-002-4,Pena e osso : as crónicas do corvo. Vol. 3: O julgamento,"Martini, Clem",,"Correia, Mário Dias",2008,QuidNovi,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4724,978-989-628-017-8,A volta ao mundo em 80 dias,"Verne, Jules ; Pinto, Nuno, transc. Braille ; Mateus, Álvaro, Rev.",,"Sá, A. M. da Cunha e",2008,Quidnovi ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Ed. Braille,12-14 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
4725,978-989-628-017-8,A volta ao mundo em 80 dias,"Verne, Jules",,"Sá, A. M. da Cunha e",2008,QuidNovi,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4726,978-989-628-024-6,A vendedora de sonhos e o poeta mudo,"Madureira, César","Letria, André",,2009,QuidNovi,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4727,978-989-628-062-8,O remorso de Baltazar Serapião,"Mãe, Valter Hugo ; Mota, Laurinda, transc. Braille ; Andrade, Paulo, rev.",,,,QuidNovi ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Edições Braille,15-18 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
4728,978-989-628-082-6,Bemol saltitante e o mistério Stradivarius,"Amago, Antonio ","Rodriguez, Nuria","Fraga, Sofia",2009,QuidNovi,9-11 anos,,Leitura mediana,,Artes,Literatura,,Livro com CD e/ou DVD,,Português,
4729,978-989-628-083-3,O regresso dos dragões,"Lake, A. J.",,"Saint-Aubyn, Maria de Fátima",2008,QuidNovi,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4730,978-989-628-093-2,Mistério no museu de arte antiga,"Reis, Patrícia","Alves, Pedro",,2008,QuidNovi,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4731,978-989-628-161-8,A cidade e as serras,"Queirós, Eça de ; Zink, Rui, pref.",,,2010,QuidNovi,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4732,978-989-628-164-9,O futebol ou a vida,"Magalhães, Álvaro",,,2009,QuidNovi,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4733,978-989-628-165-6,A profecia,"Magalhães, Álvaro",,,2009,QuidNovi,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4734,978-989-628-166-3,O último segredo,"Magalhães, Álvaro",,,2009,QuidNovi,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4735,978-989-628-187-8,Os mistérios de Lisboa,"Castelo-Branco, Camilo ; Tordo, João, pref.",,,2010,QuidNovi,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4736,978-989-628-195-3,A menina que voltou a ser menina,"Madureira, César","Cruz, Manel",,2010,QuidNovi,6-8 anos,,Leitura inicial,Leitura fluente,Literatura,,,Livro álbum,,Português,
4737,978-989-628-201-1,A morgadinha dos canaviais : crónica da aldeia,"Dinis, Júlio ; Katzenstein, Ferrão, pref.",,,2010,QuidNovi,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4738,978-989-628-204-2,História dos reis de Portugal. Vol. 1: Da fundação à perda da independência,"Academia Portuguesa da História ; Mendonça, Manuela, coord.",,,2010,QuidNovi,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4739,978-989-628-215-8,Princesa Laranjada,"Sena-Lino, Pedro","Costa, Estela Baptista",,2010,Booklândia,9-11 anos,,Leitura mediana,Leitura fluente,Poesia,,,,,Português,
4740,978-989-628-226-4,A mão e a luva,"Assis, Machado de",,,2011,QuidNovi,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4741,978-989-628-229-5,A tempestade,"Amaral, Ana Luísa","Madureira, Marta",,2011,Verso da História,9-11 anos,,Leitura mediana,,Poesia,,,Livro álbum,,Português,
4742,978-989-628-238-7,A árvore que não sabia sentir,"Sena-Lino, Pedro","Peixoto, Sebastião",,2012,QuidNovi,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4743,978-989-633-044-6,O autocarro falante e mais 2 contos,"Faria, Maria João Lobato de","Marques, Paula",,2008,Girassol,6-8 anos,,Leitura inicial,,Literatura,,,Livro álbum,,Português,
4744,978-989-633-057-6,Atlas de Portugal : fauna e flora,"Rodriguez, Carmen",,"Rodrigues, Maria João",2009,Girassol,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
4745,978-989-633-065-1,O grande manual das artes,"Nicholson, Sue ; Robins, Deri ","Grimshaw, Melanie","Rodrigues, Maria João",2007,Girassol,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Artes,,,,,Português,
4746,978-989-633-105-4,A lebre e a tartaruga,"La Fontaine, Jean de",,"Rodrigues, Maria João",2009,Girassol,6-8 anos,,Leitura inicial,,Literatura,,,Livro álbum,,Português,
4747,978-989-633-148-1,Corpo humano,"Smith, Miranda ; Macnair, Patricia, consult.",,,2011,Girassol,9-11 anos,,Leitura mediana,,Ciências e Tecnologia,,,,,Português,
4748,978-989-633-281-5,Navegadores portugueses,"Magalhães, Elsa Pestana ; De Ricci, Mara, rev.","Aznar, Fernando",,2010,Girassol,9-11 anos,,Leitura mediana,,Cultura e Sociedade,Literatura,,,,Português,
4749,978-989-634-010-0,Tabaco,"Becoña Iglesias, Elisardo",,,2007,Marina,9-11 anos,,Leitura mediana,,Ciências e Tecnologia,,,,,Português,
4750,978-989-634-012-4,Cuida do teu planeta,"Fernández Domínguez, Manuel Antonio ; Gil Rodriguez, Xulio, fot.",,,2007,Marina,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,,,Português,
4751,978-989-636-127-3,As viagens de Simão : Canadá,"Barcelos, Gabriela","Sousa, Áurea ; Nelma, Sara",,2007,Papiro,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,,,Português,
4752,978-989-636-222-5,Teatro escolar c.o.m b.i.c.h.o.s d.e r.a.b.i.ar,"Marado, Fernando Branco ; Matos, Arlindo F. S. de, pref.","Vieira, Jorge",,2008,Papiro,9-11 anos,,Leitura mediana,,Artes,Literatura,,,,Português,
4753,978-989-636-292-8,A casa de pedra,"Mestre, Maria José ","Sardinha, Vicente",,2008,Papiro,9-11 anos,,Leitura mediana,,Cultura e Sociedade,Literatura,,,,Português,
4754,978-989-636-412-0,A zebra das riscas verdes,"Morgado, Vera ","Fernandez, Karla",,2009,Papiro,9-11 anos,,Leitura mediana,,Cultura e Sociedade,Literatura,,,,Português,
4755,978-989-636-500-4,"Mada, quem és tu?","Marques, Silvina","Cabral, Filipa",,2010,Papiro,6-8 anos,,Leitura inicial,Leitura fluente,Literatura,,,Livro álbum,,Português,
4756,978-989-636-527-1,Solitude : pequenas histórias de grandes viagens,"Brota, Sérgio",,,2010,Papiro,maiores de 18 anos,,Leitura fluente,,Literatura,Cultura e Sociedade,,,,Português,
4757,978-989-636-665-0,The adventurous african Cape Gannet = O aventureiro ganso-Patola do cabo africano,"Sá, Ester de Sousa e ","Sá, Ester de Sousa",,2012,Papiro,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,Português
4758,978-989-637-162-3,O cônsul desobediente,"Louro, Sónia",,,2009,Saída de Emergência,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4759,978-989-637-235-4,Uma noite em Lisboa,"Remarque, Erich Maria",,"Coimbra, Luís",2010,Saída de Emergência,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4760,978-989-637-287-3,Contos de S. Petersburgo,"Gogol, Nikolai Vassilievitch",,"Coimbra, Luís",2010,Saída de Emergência,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4761,978-989-637-354-2,A Oeste nada de novo : [romance],"Remarque, Erich Maria",,"Coutinho, Luís Miguel",2011,Saída de Emergência,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4762,978-989-637-669-7,A estrada do tabaco,"Caldwell, Erskine",,"Monteiro, Adolfo Casais",2014,Saída de Emergência,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4763,978-989-637-965-0,Afinal o caracol,"Pessoa, Fernando","Milhões, Mafalda",,2016,O Bichinho de Conto,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
4764,978-989-637-967-4,A rainha das cores,"Bauer, Jutta",,"Campos, Pedro",2016,O Bichinho de Conto,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
4765,978-989-641-009-4,A aventura no castelo,"Blyton, Enid","Tresilian, Stuart","Cabral, J. Lencastre",2008,Relógio D'Água,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4766,978-989-641-011-7,O feiticeiro de Oz,"Baum, L. Frank","Denslow, W. W.","Periquito, Margarida",2008,Relógio D'Água,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4767,978-989-641-023-0,A ilha encantada : versão para jovens de A tempestade de W. Shakespeare,"Correia, Hélia, adapt.",,,2008,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4768,978-989-641-063-6,Os filhos do vidreiro,"Gripe, Maria","Gripe, Harald","Metello, Yvonne",2008,Relógio D'Água,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4769,978-989-641-090-2,As duas casas,"Pereira, Ana Teresa",,,2009,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4770,978-989-641-104-6,As aventuras de Huckleberry Finn,"Twain, Mark, pseud. ","Kemble, E. W.","Pereira, Sara S.",2009,Relógio D'Água,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4771,978-989-641-115-2,O vermelho e o negro,Stendhal,,"Marinho, José",2010,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4772,978-989-641-124-4,O fim de Lizzie e outras histórias,"Pereira, Ana Teresa",,,2009,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4773,978-989-641-133-6,Robinson Crusoé,"Defoe, Daniel ; Coetzee, J. M., pref.","Grandville, J. J.","Pereira, Miguel Serras",2009,Relógio D'Água,9-11 anos,,Leitura fluente,,Literatura,,,,,Português,
4774,978-989-641-181-7,As viagens de Gulliver,"Swift, Jonathan",,"Martins, Luzia Maria",2010,Relógio D'Água,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4775,978-989-641-182-4,O jardim secreto,"Burnett, Frances Hodgson",,"Guimarães, Maria de Lourdes",2010,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4776,978-989-641-211-1,Terna é a noite,"Fitzgerald, F. Scott",,"Silva, José Miguel",2011,Relógio D'Água,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4777,978-989-641-228-9,Jane Eyre : uma autobiografia,"Brontë, Charlotte",,"Mécia, pseud. ; Simões, João Gaspar",2011,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4778,978-989-641-274-6,Mataram a cotovia,"Lee, Harper",,"Alves, Fernando Ferreira",2012,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4779,978-989-641-294-4,A vida íntima de Laura,"Lispector, Clarice","Opazo, Flor",,2012,Relógio D'Água,9-11 anos,,Leitura mediana,,Literatura,,,Livro álbum,,Português,
4780,978-989-641-304-0,50 poemas,"Tranströmer, Tomas ; Pastor, Alexandre, anot., introd.",,,2012,Relógio D'Água,15-18 anos,,Leitura fluente,,Poesia,,,,,Português,Sueco
4781,978-989-641-305-7,O príncipe e o pobre : uma história para jovens de todas as idades,"Twain, Mark, pseud.",,"Monteiro, Domingos",2012,Relógio D'Água,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4782,978-989-641-310-1,A mulher que matou os peixes,"Lispector, Clarice","Opazo, Flor",,2012,Relógio D'Água,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4783,978-989-641-318-7,As aventuras de Pinóquio : história de um boneco,"Collodi, Carlo, pseud.","Oliveira, Susana","Periquito, Margarida",2012,Relógio D'Água,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4784,978-989-641-323-1,Orgulho e preconceito,"Austen, Jane ; Woolf, Virginia, pref.",,"Silva, José Miguel",2012,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4785,978-989-641-337-8,Vinte poemas de amor e uma canção desesperada,"Neruda, Pablo",,"Silva, José Miguel",2012,Relógio D'Água,15-18 anos,,Leitura fluente,,Poesia,,,,,Português,
4786,978-989-641-339-2,Física no dia-a-dia : respostas simples a perguntas que nunca nos fizemos,"Carvalho, Rómulo de ; Gago, José Mariano, pref.","Perdigão, Gil",,2013,Relógio D'Água,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
4787,978-989-641-353-8,O mistério do coelho pensante,"Lispector, Clarice","Oliveira, Susana",,2013,Relógio D'Água,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4788,978-989-641-354-5,Quase de verdade,"Lispector, Clarice","Oliveira, Susana",,2013,Relógio D'Água,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4789,978-989-641-355-2,Amada vida : contos,"Munro, Alice",,"Silva, José Miguel",2013,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4790,978-989-641-359-0,Fausto,"Goethe, Johann Wolfgang von ; Barrento, João, introd., gloss.",,"Barrento, João",2013,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4791,978-989-641-372-9,Ode marítima,"Pessoa, Fernando ; Gil, José, posf.",,,2013,Relógio D'Água,15-18 anos,,Leitura fluente,,Poesia,,,,,Português,
4792,978-989-641-374-3,O banqueiro anarquista e outros contos,"Pessoa, Fernando",,,2014,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4793,978-989-641-380-4,Guerra e paz - 1º Vol.,"Tolstói, Liev",,"Pescada, António",2013,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4794,978-989-641-390-3,Vinte e quatro horas da vida de uma mulher,"Zweig, Stefan",,"Ogando, Alice",2013,Relógio D'Água,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4795,978-989-641-392-7,Guerra e paz - 2º Vol.,"Tolstói, Liev",,"Pescada, António",2013,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4796,978-989-641-413-9,História em duas cidades,"Dickens, Charles ; Faria, Paulo, introd., anot.",,"Faria, Paulo",2014,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4797,978-989-641-419-1,Mary Poppins,"Travers, P. L. ","Oliveira, Susana","Silva, José Miguel",2014,Relógio D'Água,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4798,978-989-641-467-2,Hamlet,"Shakespeare, William ; Feijó, António, anot.",,"Feijó, António M.",2015,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4799,978-989-641-476-4,Persuasão,"Austen, Jane ; Casanova, Rogério, posf.",,"Casanova, Rogério",2014,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4800,978-989-641-482-5,Viagens de Tom Sawyer,"Twain, Mark, pseud.",,"Derouet, Luísa",2015,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4801,978-989-641-503-7,O principezinho,"Saint-Exupéry, Antoine de (Aguarelas do autor)",,"Vale, Francisco",2015,Relógio D'Água,9-11 anos,,Leitura fluente,,Literatura,,,,,Português,
4802,978-989-641-503-7,O principezinho,"Saint-Exupéry, Antoine de ; Vale, Francisco, posf.","Saint-Exupéry, Antoine de","Vale, Francisco",,Relógio D'Água,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
4803,978-989-641-519-8,A família dos Mumins,"Jansson, Tove","Jansson, Tove","Eliseu, Mafalda",2015,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4804,978-989-641-520-4,O cometa na terra dos Mumins,"Jansson, Tove","Jansson, Tove","Eliseu, Mafalda",2015,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4805,978-989-641-528-0,O anjo ancorado,"Pires, José Cardoso ; Carvalho, Mário de, pref.",,,2015,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4806,978-989-641-529-7,Balada da praia dos cães,"Pires, José Cardoso ; Antunes, António Lobo, pref.",,,2015,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4807,978-989-641-530-3,O Delfim,"Pires, José Cardoso ; Tavares, Gonçalo M., pref.",,,2015,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4808,978-989-641-531-0,"De profundis, valsa lenta","Pires, José Cardoso ; Antunes, António Lobo, pref.",,,2015,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4809,978-989-641-542-6,Alexandra Alpha,"Pires, José Cardoso ; Carvalho, Ana Margarida de, pref.",,,2015,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4810,978-989-641-556-3,A casa das sombras e outras histórias,"Pereira, Ana Teresa",,,2015,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4811,978-989-641-568-6,Pippi sobe a bordo,"Lindgren, Astrid","Kennedy, Richard","Leite, Carlos",2015,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4812,978-989-641-571-6,31 Sonetos,"Shakespeare, William ; Amaral, Ana Luísa, introd.",,"Amaral, Ana Luísa",2015,Relógio D'Água,15-18 anos,,Leitura fluente,,Poesia,,,,,Português,
4813,978-989-641-572-3,Celeste & Làlinha : por cima de toda a folha,"Pires, José Cardoso","Pires, Rita Cardoso",,2005,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4814,978-989-641-574-7,A luz de Newton,"Correia, Hélia","Oliveira, Susana",,2015,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4815,978-989-641-584-6,"Pensar em números : sobre a vida, amor, significado e matemática","Tammet, Daniel",,,2016,Relógio D'Água,15-18 anos,,Leitura fluente,,Ciências e Tecnologia,Cultura e Sociedade,,,,Português,
4816,978-989-641-605-8,O Egipto e outros textos sobre o Médio Oriente,"Queiroz, Eça de ; Mónica, Maria Filomena",,,2016,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4817,978-989-641-613-3,O livro da selva ; O segundo livro da selva,"Kipling, Rudyard","Kipling, J. Lockwood ; Drake, W. H. ; Frenzeny, P.","Bastos, Ana Falcão ; Neves, Mara Vieira ; Rodrigues, Alda",2016,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4818,978-989-641-642-3,Vasto mar de sargaços,"Rhys, Jean",,"Marques, José Carlos Costa",,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4819,978-989-641-654-6,Tempos difíceis para estes tempos,"Dickens, Charles ; Sahw, Bernard, posf.",,"Jonas, Daniel ; Carvalho, Anabela Prates de",2016,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4820,978-989-641-665-2,O Jogador,"Dostoievski, Fiódor ; Pescada, António, anot.",,"Pescada, António",2016,Relógio D'Água,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
4821,978-989-641-684-3,Um cântico de Natal,"Dickens, Charles","Leech, John","Aragão, Alexandra",2016,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4822,978-989-641-751-2,Dentes de rato,"Luís, Agustina Bessa","Baldaque, Mónica",,2017,Relógio D'Água,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
4823,978-989-643-066-5,Com o sorriso aprendo a lavar os dentes,"Gonçalves, Sandra ; Bulhosa, José Frias ; Santos, Lúcio","Matos, Paulo",,2011,Edições Universidade Fernando Pessoa,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
4824,978-989-644-068-8,A arte do ensaio : ensaios sobre a cultura universal,"Savater, Fernando",,"Telhado, Francisco ; Vidal, Pedro",2009,Temas & Debates Círculo de Leitores,15-18 anos,,Leitura fluente,,Cultura e Sociedade,Ensaio,,,,Português,
4825,978-989-644-072-5,Dança dos demónios : intolerância em Portugal,"Vicente, Ana... [et al.] ; Marujo, António, coord. ; Franco, José Eduardo, coord.",,,2009,Círculo de Leitores,15-18 anos,,Leitura fluente,,Cultura e Sociedade,Ensaio,,,,Português,
4826,978-989-644-102-9,Fernando Pessoa,"Zenith, Richard ; Vieira, Joaquim, dir",,,2010,Temas & Debates Círculo de Leitores,15-18 anos,,Leitura fluente,,Cultura e Sociedade,Literatura,,,,Português,
4827,978-989-644-103-6,José Afonso,"Pimentel, Irene Flunser ; Vieira, Joaquim, dir.",,,2010,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,Artes,,,,Português,
4828,978-989-644-113-5,Almada Negreiros,"Vieira, Joaquim",,,2010,Temas & Debates Círculo de Leitores,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4829,978-989-644-152-4,1961 : o ano horrível de Salazar,"Marinho, António Luís",,,2011,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4830,978-989-644-185-2,Contos da infância e do lar,"Grimm, Jacob ; Grimm, Wilhelm ; Bairos, Teresa Aica, adapt., introd.",,"Bairos, Teresa Aica",2012,Temas e Debates,9-11 anos,,Leitura fluente,,Literatura,,,,,Português,
4831,978-989-644-190-6,Contos da infância e do lar,"Grimm, Jacob ; Grimm, Wilhelm ; Bairos, Teresa Aica, adapt., introd.",,"Bairos, Teresa Aica",2012,Temas e Debates,9-11 anos,,Leitura fluente,,Literatura,,,,,Português,
4832,978-989-644-193-7,O príncipe,"Maquiavel, Nicolau ; Diogo Pires, introd., anot.",,"Aurélio, Diogo Pires",2012,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4833,978-989-644-195-1,Contos da infância e do lar,"Grimm, Jacob ; Grimm, Wilhelm ; Bairos, Teresa Aica, adapt., introd.",,"Bairos, Teresa Aica",,Temas e Debates,9-11 anos,,Leitura fluente,,Literatura,,,,,Português,
4834,978-989-644-203-3,"Rainhas que o povo amou : Estefânia de Hohenzollern, Maria Pia de Saboia","Lopes, Maria Antónia",,,2013,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4835,978-989-644-230-9,Uma rainha inesperada : Leonor Teles,"Baleiras, Isabel de Pina",,,2013,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4836,978-989-644-238-5,"As tristes rainhas : Leonor de Aragão, Isabel de Coimbra","Rodrigues, Ana Maria S. A.",,,2013,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4837,978-989-644-249-1,Contos da infância e do lar,"Irmãos Grimm ; Silva, Francisco Vaz da, coord. cient.",,"Bairos, Teresa Aica",2013,Temas e Debates,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
4838,978-989-644-275-0,Filipa de Lencastre : a rainha inglesa em Portugal,"Silva, Manuela Santos",,,2014,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,Biografia,,,,Português,
4839,978-989-644-275-0,Filipa de Lencastre : a rainha inglesa de Portugal,"Silva, Manuela Santos",,,2014,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4840,978-989-644-298-9,"Isabel de Aragão : rainha santa, mãe exemplar","Andrade, Maria Filomena",,,2014,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4841,978-989-644-337-5,"Afonso de Albuquerque : corte, cruzada e império","Pelúcia, Alexandra",,,2016,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4842,978-989-644-392-4,Silêncio e virtude : uma história da maçonaria feminina em Portugal : (1814-1996),"Ventura, António",,,2016,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4843,978-989-644-392-4,Silêncio e virtude : uma história da maçonaria feminina em Portugal : (1814-1996),"Ventura, António",,,2016,Temas e Debates,maiores de 18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4844,978-989-644-393-1,Terminar a revolução : a política portuguesa de Napoleão a Salazar,"Sardica, José Miguel",,,2016,Temas e Debates,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
4845,978-989-644-422-8,Fábulas de la Fontaine,"La Fontaine, Jean de","Doré, Gustave",,2016,Temas e Debates,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
